"","study","sample","experiment","run","ftp"
"1618","SRP079058","SRS1576049","SRX1966494","SRR3937202","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937202/SRR3937202.sra"
"1619","SRP079058","SRS1574961","SRX1965405","SRR3936113","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936113/SRR3936113.sra"
"1620","SRP079058","SRS1575714","SRX1966159","SRR3936867","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936867/SRR3936867.sra"
"1621","SRP079058","SRS1575716","SRX1966158","SRR3936866","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936866/SRR3936866.sra"
"1622","SRP079058","SRS1574499","SRX1964943","SRR3935651","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935651/SRR3935651.sra"
"1623","SRP079058","SRS1573515","SRX1963959","SRR3934667","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934667/SRR3934667.sra"
"1624","SRP079058","SRS1573510","SRX1963954","SRR3934662","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934662/SRR3934662.sra"
"1625","SRP079058","SRS1574979","SRX1965423","SRR3936131","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936131/SRR3936131.sra"
"1626","SRP079058","SRS1575721","SRX1966163","SRR3936871","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936871/SRR3936871.sra"
"1627","SRP079058","SRS1573520","SRX1963964","SRR3934672","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934672/SRR3934672.sra"
"1628","SRP079058","SRS1576092","SRX1966536","SRR3937244","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937244/SRR3937244.sra"
"1629","SRP079058","SRS1576101","SRX1966545","SRR3937253","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937253/SRR3937253.sra"
"1630","SRP079058","SRS1574628","SRX1965073","SRR3935781","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935781/SRR3935781.sra"
"1631","SRP079058","SRS1574114","SRX1964558","SRR3935266","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935266/SRR3935266.sra"
"1632","SRP079058","SRS1576305","SRX1966750","SRR3937458","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937458/SRR3937458.sra"
"1633","SRP079058","SRS1573774","SRX1964216","SRR3934924","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934924/SRR3934924.sra"
"1634","SRP079058","SRS1575858","SRX1966301","SRR3937009","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937009/SRR3937009.sra"
"1635","SRP079058","SRS1575857","SRX1966302","SRR3937010","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937010/SRR3937010.sra"
"1636","SRP079058","SRS1576693","SRX1967137","SRR3937845","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937845/SRR3937845.sra"
"1637","SRP079058","SRS1573411","SRX1963855","SRR3934563","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934563/SRR3934563.sra"
"1638","SRP079058","SRS1574758","SRX1965202","SRR3935910","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935910/SRR3935910.sra"
"1639","SRP079058","SRS1575365","SRX1965808","SRR3936516","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936516/SRR3936516.sra"
"1640","SRP079058","SRS1574759","SRX1965204","SRR3935912","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935912/SRR3935912.sra"
"1641","SRP079058","SRS1576231","SRX1966669","SRR3937377","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937377/SRR3937377.sra"
"1642","SRP079058","SRS1576234","SRX1966680","SRR3937388","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937388/SRR3937388.sra"
"1643","SRP079058","SRS1576225","SRX1966667","SRR3937375","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937375/SRR3937375.sra"
"1644","SRP079058","SRS1575109","SRX1965554","SRR3936262","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936262/SRR3936262.sra"
"1645","SRP079058","SRS1576227","SRX1966671","SRR3937379","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937379/SRR3937379.sra"
"1646","SRP079058","SRS1573205","SRX1963649","SRR3934357","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934357/SRR3934357.sra"
