"","study","sample","experiment","run","ftp"
"1","SRP079058","SRS1574803","SRX1965247","SRR3935955","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935955/SRR3935955.sra"
"2","SRP079058","SRS1574805","SRX1965249","SRR3935957","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935957/SRR3935957.sra"
"3","SRP079058","SRS1573354","SRX1963798","SRR3934506","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934506/SRR3934506.sra"
"4","SRP079058","SRS1574090","SRX1964534","SRR3935242","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935242/SRR3935242.sra"
"5","SRP079058","SRS1576636","SRX1967079","SRR3937787","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937787/SRR3937787.sra"
"6","SRP079058","SRS1575908","SRX1966353","SRR3937061","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937061/SRR3937061.sra"
"7","SRP079058","SRS1574091","SRX1964537","SRR3935245","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935245/SRR3935245.sra"
"8","SRP079058","SRS1573355","SRX1963799","SRR3934507","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934507/SRR3934507.sra"
"9","SRP079058","SRS1574795","SRX1965239","SRR3935947","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935947/SRR3935947.sra"
"10","SRP079058","SRS1576644","SRX1967088","SRR3937796","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937796/SRR3937796.sra"
"11","SRP079058","SRS1575904","SRX1966347","SRR3937055","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937055/SRR3937055.sra"
"12","SRP079058","SRS1576278","SRX1966720","SRR3937428","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937428/SRR3937428.sra"
"13","SRP079058","SRS1573726","SRX1964170","SRR3934878","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934878/SRR3934878.sra"
"14","SRP079058","SRS1573717","SRX1964161","SRR3934869","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934869/SRR3934869.sra"
"15","SRP079058","SRS1574793","SRX1965237","SRR3935945","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935945/SRR3935945.sra"
"16","SRP079058","SRS1574445","SRX1964889","SRR3935597","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935597/SRR3935597.sra"
"17","SRP079058","SRS1575143","SRX1965587","SRR3936295","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936295/SRR3936295.sra"
"18","SRP079058","SRS1576255","SRX1966696","SRR3937404","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937404/SRR3937404.sra"
"19","SRP079058","SRS1576625","SRX1967068","SRR3937776","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937776/SRR3937776.sra"
"20","SRP079058","SRS1573344","SRX1963788","SRR3934496","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934496/SRR3934496.sra"
"21","SRP079058","SRS1575168","SRX1965612","SRR3936320","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936320/SRR3936320.sra"
"22","SRP079058","SRS1576627","SRX1967071","SRR3937779","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937779/SRR3937779.sra"
"23","SRP079058","SRS1573356","SRX1963800","SRR3934508","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934508/SRR3934508.sra"
"24","SRP079058","SRS1574438","SRX1964882","SRR3935590","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935590/SRR3935590.sra"
"25","SRP079058","SRS1576631","SRX1967069","SRR3937777","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937777/SRR3937777.sra"
"26","SRP079058","SRS1574799","SRX1965243","SRR3935951","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935951/SRR3935951.sra"
"27","SRP079058","SRS1574791","SRX1965236","SRR3935944","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935944/SRR3935944.sra"
"28","SRP079058","SRS1574095","SRX1964539","SRR3935247","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935247/SRR3935247.sra"
"29","SRP079058","SRS1575900","SRX1966343","SRR3937051","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937051/SRR3937051.sra"
"30","SRP079058","SRS1575148","SRX1965593","SRR3936301","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936301/SRR3936301.sra"
"31","SRP079058","SRS1575158","SRX1965603","SRR3936311","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936311/SRR3936311.sra"
"32","SRP079058","SRS1573351","SRX1963795","SRR3934503","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934503/SRR3934503.sra"
"33","SRP079058","SRS1575882","SRX1966326","SRR3937034","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937034/SRR3937034.sra"
"34","SRP079058","SRS1575146","SRX1965588","SRR3936296","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936296/SRR3936296.sra"
"35","SRP079058","SRS1574092","SRX1964536","SRR3935244","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935244/SRR3935244.sra"
"36","SRP079058","SRS1575894","SRX1966338","SRR3937046","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937046/SRR3937046.sra"
"37","SRP079058","SRS1576629","SRX1967073","SRR3937781","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937781/SRR3937781.sra"
"38","SRP079058","SRS1574444","SRX1964888","SRR3935596","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935596/SRR3935596.sra"
"39","SRP079058","SRS1574435","SRX1964880","SRR3935588","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935588/SRR3935588.sra"
"40","SRP079058","SRS1573347","SRX1963791","SRR3934499","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934499/SRR3934499.sra"
"41","SRP079058","SRS1574797","SRX1965241","SRR3935949","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935949/SRR3935949.sra"
"42","SRP079058","SRS1573716","SRX1964160","SRR3934868","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934868/SRR3934868.sra"
"43","SRP079058","SRS1575888","SRX1966332","SRR3937040","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937040/SRR3937040.sra"
"44","SRP079058","SRS1573723","SRX1964168","SRR3934876","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934876/SRR3934876.sra"
"45","SRP079058","SRS1576643","SRX1967087","SRR3937795","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937795/SRR3937795.sra"
"46","SRP079058","SRS1574441","SRX1964884","SRR3935592","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935592/SRR3935592.sra"
"47","SRP079058","SRS1576634","SRX1967078","SRR3937786","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937786/SRR3937786.sra"
"48","SRP079058","SRS1575886","SRX1966331","SRR3937039","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937039/SRR3937039.sra"
"49","SRP079058","SRS1573345","SRX1963789","SRR3934497","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934497/SRR3934497.sra"
"50","SRP079058","SRS1574502","SRX1964946","SRR3935654","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935654/SRR3935654.sra"
"51","SRP079058","SRS1575145","SRX1965590","SRR3936298","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936298/SRR3936298.sra"
"52","SRP079058","SRS1575907","SRX1966351","SRR3937059","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937059/SRR3937059.sra"
"53","SRP079058","SRS1574096","SRX1964540","SRR3935248","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935248/SRR3935248.sra"
"54","SRP079058","SRS1575889","SRX1966333","SRR3937041","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937041/SRR3937041.sra"
"55","SRP079058","SRS1575885","SRX1966329","SRR3937037","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937037/SRR3937037.sra"
"56","SRP079058","SRS1573712","SRX1964155","SRR3934863","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934863/SRR3934863.sra"
"57","SRP079058","SRS1574792","SRX1965233","SRR3935941","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935941/SRR3935941.sra"
"58","SRP079058","SRS1573721","SRX1964165","SRR3934873","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934873/SRR3934873.sra"
"59","SRP079058","SRS1573711","SRX1964156","SRR3934864","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934864/SRR3934864.sra"
"60","SRP079058","SRS1574085","SRX1964531","SRR3935239","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935239/SRR3935239.sra"
"61","SRP079058","SRS1575899","SRX1966345","SRR3937053","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937053/SRR3937053.sra"
"62","SRP079058","SRS1575887","SRX1966330","SRR3937038","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937038/SRR3937038.sra"
"63","SRP079058","SRS1574437","SRX1964881","SRR3935589","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935589/SRR3935589.sra"
"64","SRP079058","SRS1576259","SRX1966699","SRR3937407","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937407/SRR3937407.sra"
"65","SRP079058","SRS1576624","SRX1967067","SRR3937775","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937775/SRR3937775.sra"
"66","SRP079058","SRS1574434","SRX1964878","SRR3935586","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935586/SRR3935586.sra"
"67","SRP079058","SRS1576256","SRX1966697","SRR3937405","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937405/SRR3937405.sra"
"68","SRP079058","SRS1573352","SRX1963796","SRR3934504","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934504/SRR3934504.sra"
"69","SRP079058","SRS1575155","SRX1965599","SRR3936307","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936307/SRR3936307.sra"
"70","SRP079058","SRS1576628","SRX1967072","SRR3937780","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937780/SRR3937780.sra"
"71","SRP079058","SRS1574430","SRX1964875","SRR3935583","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935583/SRR3935583.sra"
"72","SRP079058","SRS1575884","SRX1966327","SRR3937035","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937035/SRR3937035.sra"
"73","SRP079058","SRS1573335","SRX1963779","SRR3934487","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934487/SRR3934487.sra"
"74","SRP079058","SRS1576253","SRX1966700","SRR3937408","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937408/SRR3937408.sra"
"75","SRP079058","SRS1574103","SRX1964548","SRR3935256","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935256/SRR3935256.sra"
"76","SRP079058","SRS1574786","SRX1965230","SRR3935938","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935938/SRR3935938.sra"
"77","SRP079058","SRS1576355","SRX1966795","SRR3937503","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937503/SRR3937503.sra"
"78","SRP079058","SRS1574176","SRX1964619","SRR3935327","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935327/SRR3935327.sra"
"79","SRP079058","SRS1574787","SRX1965232","SRR3935940","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935940/SRR3935940.sra"
"80","SRP079058","SRS1575242","SRX1965687","SRR3936395","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936395/SRR3936395.sra"
"81","SRP079058","SRS1575247","SRX1965692","SRR3936400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936400/SRR3936400.sra"
"82","SRP079058","SRS1574094","SRX1964535","SRR3935243","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935243/SRR3935243.sra"
"83","SRP079058","SRS1575891","SRX1966335","SRR3937043","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937043/SRR3937043.sra"
"84","SRP079058","SRS1573718","SRX1964163","SRR3934871","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934871/SRR3934871.sra"
"85","SRP079058","SRS1576638","SRX1967082","SRR3937790","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937790/SRR3937790.sra"
"86","SRP079058","SRS1573710","SRX1964154","SRR3934862","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934862/SRR3934862.sra"
"87","SRP079058","SRS1573713","SRX1964157","SRR3934865","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934865/SRR3934865.sra"
"88","SRP079058","SRS1574439","SRX1964885","SRR3935593","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935593/SRR3935593.sra"
"89","SRP079058","SRS1576261","SRX1966703","SRR3937411","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937411/SRR3937411.sra"
"90","SRP079058","SRS1575249","SRX1965691","SRR3936399","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936399/SRR3936399.sra"
"91","SRP079058","SRS1575252","SRX1965696","SRR3936404","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936404/SRR3936404.sra"
"92","SRP079058","SRS1574323","SRX1964765","SRR3935473","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935473/SRR3935473.sra"
"93","SRP079058","SRS1575238","SRX1965681","SRR3936389","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936389/SRR3936389.sra"
"94","SRP079058","SRS1575901","SRX1966344","SRR3937052","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937052/SRR3937052.sra"
"95","SRP079058","SRS1576260","SRX1966702","SRR3937410","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937410/SRR3937410.sra"
"96","SRP079058","SRS1575243","SRX1965688","SRR3936396","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936396/SRR3936396.sra"
"97","SRP079058","SRS1573346","SRX1963790","SRR3934498","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934498/SRR3934498.sra"
"98","SRP079058","SRS1574426","SRX1964870","SRR3935578","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935578/SRR3935578.sra"
"99","SRP079058","SRS1573714","SRX1964159","SRR3934867","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934867/SRR3934867.sra"
"100","SRP079058","SRS1573706","SRX1964149","SRR3934857","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934857/SRR3934857.sra"
"101","SRP079058","SRS1574794","SRX1965238","SRR3935946","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935946/SRR3935946.sra"
"102","SRP079058","SRS1576635","SRX1967077","SRR3937785","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937785/SRR3937785.sra"
"103","SRP079058","SRS1576354","SRX1966801","SRR3937509","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937509/SRR3937509.sra"
"104","SRP079058","SRS1575879","SRX1966323","SRR3937031","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937031/SRR3937031.sra"
"105","SRP079058","SRS1575239","SRX1965684","SRR3936392","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936392/SRR3936392.sra"
"106","SRP079058","SRS1574796","SRX1965240","SRR3935948","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935948/SRR3935948.sra"
"107","SRP079058","SRS1576252","SRX1966698","SRR3937406","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937406/SRR3937406.sra"
"108","SRP079058","SRS1573719","SRX1964162","SRR3934870","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934870/SRR3934870.sra"
"109","SRP079058","SRS1576640","SRX1967083","SRR3937791","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937791/SRR3937791.sra"
"110","SRP079058","SRS1576632","SRX1967075","SRR3937783","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937783/SRR3937783.sra"
"111","SRP079058","SRS1575890","SRX1966334","SRR3937042","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937042/SRR3937042.sra"
"112","SRP079058","SRS1576633","SRX1967076","SRR3937784","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937784/SRR3937784.sra"
"113","SRP079058","SRS1573341","SRX1963785","SRR3934493","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934493/SRR3934493.sra"
"114","SRP079058","SRS1574086","SRX1964530","SRR3935238","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935238/SRR3935238.sra"
"115","SRP079058","SRS1574801","SRX1965245","SRR3935953","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935953/SRR3935953.sra"
"116","SRP079058","SRS1575911","SRX1966354","SRR3937062","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937062/SRR3937062.sra"
"117","SRP079058","SRS1575390","SRX1965834","SRR3936542","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936542/SRR3936542.sra"
"118","SRP079058","SRS1575246","SRX1965690","SRR3936398","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936398/SRR3936398.sra"
"119","SRP079058","SRS1575874","SRX1966318","SRR3937026","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937026/SRR3937026.sra"
"120","SRP079058","SRS1574312","SRX1964756","SRR3935464","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935464/SRR3935464.sra"
"121","SRP079058","SRS1576340","SRX1966781","SRR3937489","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937489/SRR3937489.sra"
"122","SRP079058","SRS1574775","SRX1965218","SRR3935926","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935926/SRR3935926.sra"
"123","SRP079058","SRS1575394","SRX1965838","SRR3936546","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936546/SRR3936546.sra"
"124","SRP079058","SRS1575244","SRX1965686","SRR3936394","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936394/SRR3936394.sra"
"125","SRP079058","SRS1574501","SRX1964945","SRR3935653","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935653/SRR3935653.sra"
"126","SRP079058","SRS1574784","SRX1965228","SRR3935936","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3935936/SRR3935936.sra"
"127","SRP079058","SRS1576365","SRX1966811","SRR3937519","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937519/SRR3937519.sra"
"128","SRP079058","SRS1575510","SRX1965955","SRR3936663","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936663/SRR3936663.sra"
"129","SRP079058","SRS1576637","SRX1967081","SRR3937789","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937789/SRR3937789.sra"
"130","SRP079058","SRS1576280","SRX1966723","SRR3937431","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937431/SRR3937431.sra"
"131","SRP079058","SRS1575905","SRX1966349","SRR3937057","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937057/SRR3937057.sra"
"132","SRP079058","SRS1576499","SRX1966940","SRR3937648","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937648/SRR3937648.sra"
"133","SRP079058","SRS1575164","SRX1965606","SRR3936314","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3936314/SRR3936314.sra"
"134","SRP079058","SRS1576342","SRX1966785","SRR3937493","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3937493/SRR3937493.sra"
"135","SRP079058","SRS1573715","SRX1964158","SRR3934866","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR393/SRR3934866/SRR3934866.sra"
